venue,hour_utc,bbo_rows,reconnects
lighter,2026-09-15 20:00:00,9126,0
lighter,2026-09-15 21:00:00,295437,30
lighter,2026-09-15 22:00:00,399463,29
lighter,2026-09-15 23:00:00,344396,29
lighter,2026-09-16 00:00:00,440306,28
lighter,2026-09-16 01:00:00,484385,30
lighter,2026-09-16 02:00:00,489387,29
lighter,2026-09-16 03:00:00,450626,30
lighter,2026-09-16 04:00:00,392807,28
lighter,2026-09-16 05:00:00,454962,29
lighter,2026-09-16 06:00:00,431978,21
lighter,2026-09-16 07:00:00,385264,0
rh,2026-09-15 20:00:00,5630,0
rh,2026-09-15 21:00:00,235335,30
rh,2026-09-15 22:00:00,266246,29
rh,2026-09-15 23:00:00,225729,30
rh,2026-09-16 00:00:00,283478,29
rh,2026-09-16 01:00:00,292090,30
rh,2026-09-16 02:00:00,296035,29
rh,2026-09-16 03:00:00,267598,30
rh,2026-09-16 04:00:00,239031,29
rh,2026-09-16 05:00:00,279650,30
rh,2026-09-16 06:00:00,260407,22
rh,2026-09-16 07:00:00,248926,0
