sym,seconds,hours,gap_mean_bps,gap_std_bps,gap_p05_bps,gap_p50_bps,gap_p95_bps,pct_abs_gap_over_20bps,pct_abs_gap_over_50bps,l_spread_p50_bps,r_spread_p50_bps,pct_touch_crossed,pct_cross100_over_0,pct_cross100_over_10bps,pct_cross500_over_10bps,pct_cross2000_over_10bps,cross100_p99_bps,touch_episodes,touch_episodes_over_5s,touch_episodes_over_60s,touch_crossed_seconds,longest_touch_episode_s,max_touch_cross_bps,index_gap_p50_bps,mark_gap_p50_bps,l_funding_mean,r_funding_mean,l_volume_usd_24h,r_volume_usd_24h
OPENAI,38465,10.685,91.958,39.574,55.807,83.048,176.929,99.782,97.637,4.732,5.325,97.785,96.818,95.885,90.342,30.511,161.497,168,56,22,38249.122,16957.627,245.980,76.157,65.411,0.000,0.000,233504.394,2781195.579
TSM,38341,10.650,24.090,3.433,19.024,24.186,28.626,93.785,0.000,32.961,5.074,99.400,99.400,4.637,3.221,2.512,17.722,300,145,83,38878.318,3338.861,46.610,0.000,25.501,0.003,0.000,84487.531,124027.107
ANTHROPIC,38919,10.811,39.495,18.358,15.578,35.112,73.531,88.414,28.747,6.863,2.284,99.589,99.473,94.072,88.566,74.665,77.170,172,51,17,38953.335,24214.672,108.656,38.817,35.812,0.000,0.000,9515849.443,10080679.212
ANSEM,38936,10.816,48.804,39.408,-3.713,42.371,121.395,79.078,41.373,50.052,49.647,40.297,36.193,25.842,6.672,0.018,86.388,563,245,78,15741.095,898.613,732.372,0.248,34.721,0.010,0.002,486387.345,356851.675
AI,38950,10.819,13.426,41.346,-37.446,-2.635,105.146,41.042,19.828,61.044,70.191,12.193,9.499,8.950,7.910,0.000,80.025,96,31,13,4768.235,1243.915,179.770,0.000,0.310,0.018,0.007,724422.478,105646.947
CASHCAT,38748,10.763,-14.926,9.697,-30.540,-15.274,1.290,30.048,0.026,2.599,19.961,63.758,49.104,9.585,3.056,0.010,18.744,4928,773,87,24911.416,534.907,73.608,-0.106,-9.286,0.002,0.005,1006177.203,523563.739
ORCL,38459,10.683,14.214,7.482,2.493,14.574,26.986,20.586,0.000,54.707,2.851,5.135,4.584,0.029,0.000,0.000,5.687,29,17,6,1997.371,891.882,10.669,0.000,13.447,0.000,0.000,140016.561,438504.927
SHEIN,38193,10.609,8.173,14.470,-9.650,8.167,25.351,15.896,1.186,64.248,43.348,0.312,0.141,0.008,0.008,0.003,-10.375,52,6,0,120.569,21.748,85.412,1.978,8.513,0.000,0.000,220193.503,64400.894
BABA,38875,10.799,15.386,3.490,10.095,15.133,21.568,9.209,0.000,62.466,3.673,0.975,0.975,0.000,0.000,0.000,0.000,35,16,2,376.077,129.111,7.340,0.000,15.467,0.000,0.000,68121.470,107805.453
VVV,38217,10.616,7.280,4.096,1.647,6.849,15.217,0.081,0.000,7.268,7.769,46.574,43.737,1.261,1.170,0.921,10.358,4869,711,41,17998.211,431.115,37.203,0.164,5.396,0.001,0.001,1734113.579,533149.648
PONS,38442,10.678,0.307,3.468,-5.555,0.554,5.566,0.018,0.000,10.353,10.737,1.537,0.661,0.008,0.008,0.008,-0.513,1022,10,0,595.581,16.604,46.958,-0.125,0.038,0.001,0.001,1988893.327,1132320.100
